City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,kavieng,-2.5744,150.7967,85.05,70,41,6.78,PG,1621665955
241,kharitonovo,61.4009,47.4978,61.81,46,79,10.67,RU,1621665956
242,desaguadero,-16.5656,-69.0417,36.82,35,0,1.14,PE,1621665956
243,iquitos,-3.7481,-73.2472,75.24,94,75,0.0,PE,1621665956
244,nanortalik,60.1432,-45.2371,33.15,83,100,14.5,GL,1621665957
245,altay,47.8667,88.1167,55.18,25,7,10.13,CN,1621665957
246,rio claro,-22.4114,-47.5614,52.81,49,100,5.53,BR,1621665716
247,sistranda,63.7256,8.834,51.76,81,86,11.07,NO,1621665958
248,saint george,37.1041,-113.5841,53.8,27,1,1.01,US,1621665959
249,mitchell,43.7094,-98.0298,69.75,83,1,4.0,US,1621665959
250,tawang,27.5833,91.8667,70.3,49,18,9.33,IN,1621665959
251,ulladulla,-35.35,150.4667,65.3,85,0,2.26,AU,1621665960
252,jonkoping,57.7814,14.1562,52.39,93,20,9.22,SE,1621665961
253,bowen,-20.0167,148.2333,77.22,69,98,16.67,AU,1621665961
254,bocas del toro,9.3333,-82.25,79.39,82,100,8.48,PA,1621665961
255,atherton,53.5237,-2.4935,47.28,75,100,3.0,GB,1621665962
256,esperance,-33.8667,121.9,75.04,42,100,10.42,AU,1621665962
257,damavand,35.7178,52.065,78.64,21,100,5.39,IR,1621665683
258,palauig,15.435,119.9045,85.46,74,100,11.56,PH,1621665963
259,nioro,13.35,-15.75,73.9,50,39,4.21,GM,1621665963
260,homer,59.6425,-151.5483,48.07,78,90,5.75,US,1621665964
261,berezovyy,51.6667,135.7,59.68,89,98,7.14,RU,1621665828
262,deputatskiy,69.3,139.9,31.69,95,100,2.62,RU,1621665846
263,angoche,-16.2325,39.9086,79.41,63,68,4.29,MZ,1621665965
264,uyemskiy,64.4743,40.8524,53.65,50,90,13.62,RU,1621665965
265,byron bay,-28.65,153.6167,69.69,76,8,10.04,AU,1621665884
266,kutum,14.2,24.6667,86.54,11,6,19.04,SD,1621665966
267,bonavista,48.6499,-53.1147,51.8,74,100,17.9,CA,1621665966
268,kununurra,-15.7667,128.7333,91.38,29,88,6.91,AU,1621665846
269,moengo,5.6167,-54.4,73.58,97,100,2.37,SR,1621665967
270,husavik,66.0449,-17.3389,33.71,77,87,4.25,IS,1621665967
271,ahipara,-35.1667,173.1667,58.28,85,100,11.36,NZ,1621665968
272,nuuk,64.1835,-51.7216,29.01,74,90,9.22,GL,1621665678
273,ginir,7.1333,40.7,69.85,57,67,3.53,ET,1621665968
274,ugoofaaru,5.6667,73.0,83.89,76,57,19.1,MV,1621665969
275,ushtobe,45.2514,77.9838,75.97,30,0,20.18,KZ,1621665969
276,petatlan,17.5167,-101.2667,76.14,56,10,1.9,MX,1621665970
277,tremedal,-14.9758,-41.4108,63.37,81,76,2.77,BR,1621665970
278,semey,50.4111,80.2275,68.22,40,0,4.47,KZ,1621665672
279,ligayan,4.6533,119.4706,83.37,72,93,1.19,PH,1621665971
280,arboledas,7.6423,-72.7994,67.48,93,88,3.58,CO,1621665971
281,lac du bonnet,50.2536,-96.0612,40.59,97,100,4.92,CA,1621665971
282,cachira,7.741,-73.0483,56.05,97,99,2.68,CO,1621665972
283,santarem,-2.4431,-54.7083,77.13,94,75,1.14,BR,1621665809
284,meadow lake,34.8014,-106.5436,66.2,45,25,4.43,US,1621665972
285,tuy hoa,13.0833,109.3,91.47,56,76,10.36,VN,1621665973
286,bairiki,1.3292,172.9752,84.2,82,75,21.3,KI,1621665973
287,yushu,44.8,126.5333,89.37,18,1,15.03,CN,1621665974
288,lynn haven,30.2455,-85.6483,73.98,72,1,4.0,US,1621665798
289,filadelfia,39.9523,-75.1638,69.94,62,75,1.01,US,1621665915
290,korcula,42.9622,17.1369,54.16,67,41,19.62,HR,1621665975
291,isangel,-19.55,169.2667,75.31,73,40,8.66,VU,1621665975
292,kijang,35.2442,129.2139,74.93,64,0,12.3,KR,1621665975
293,san cristobal,7.7669,-72.225,66.27,96,100,3.27,VE,1621665976
294,ravar,31.2656,56.8055,84.33,12,4,8.9,IR,1621665976
295,istok,42.7808,20.4875,58.15,69,52,4.23,XK,1621665977
296,luderitz,-26.6481,15.1594,64.83,40,0,5.48,NA,1621665977
297,eucaliptus,-17.5833,-67.5167,34.79,33,0,1.88,BO,1621665977
298,san quintin,30.4833,-115.95,56.73,77,0,16.89,MX,1621665978
299,celestun,20.8667,-90.4,76.23,85,100,9.35,MX,1621665978
300,aykhal,66.0,111.5,33.75,92,23,8.05,RU,1621665978
301,touros,-5.1989,-35.4608,72.5,82,9,11.1,BR,1621665979
302,kattivakkam,13.2167,80.3167,87.89,56,100,8.3,IN,1621665979
303,kasongo-lunda,-6.4667,16.8167,75.56,59,2,3.4,CD,1621665980
304,chara,56.9064,118.2631,47.39,33,99,12.17,RU,1621665980
305,mehamn,71.0357,27.8492,34.56,66,100,23.13,NO,1621665981
